entity;field;model_file
Payment;user_id;web/app/Models/Payment.php
Payment;client_payment_method_id;web/app/Models/Payment.php
Payment;operator;web/app/Models/Payment.php
Payment;mobile_number;web/app/Models/Payment.php
Payment;type;web/app/Models/Payment.php
Payment;order_item_ids;web/app/Models/Payment.php
Payment;provider_payload;web/app/Models/Payment.php
Payment;paid_at;web/app/Models/Payment.php
Payment;failed_at;web/app/Models/Payment.php
Payment;released_at;web/app/Models/Payment.php
Address;user_id;web/app/Models/Address.php
Address;type;web/app/Models/Address.php
Address;label;web/app/Models/Address.php
Address;recipient_name;web/app/Models/Address.php
Address;city;web/app/Models/Address.php
Address;commune;web/app/Models/Address.php
Address;quartier;web/app/Models/Address.php
Address;country;web/app/Models/Address.php
Address;address;web/app/Models/Address.php
Address;phone;web/app/Models/Address.php
Address;latitude;web/app/Models/Address.php
Address;longitude;web/app/Models/Address.php
Address;is_default;web/app/Models/Address.php
